dataset,class,support,precision,recall,f1_score,accuracy_global
YouTube Comments with Labeled,NEGATIVE,22605,0.2399681442198049,0.5865074098650741,0.34058622549901096,0.5286753645761103
YouTube Comments with Labeled,NEUTRAL,92872,0.6192420652684215,0.6107007494185546,0.6149417498360105,0.5286753645761103
YouTube Comments with Labeled,POSITIVE,72001,0.7170628475810817,0.40471660115831726,0.5174051616225286,0.5286753645761103
YouTube Comments with Labeled,MACRO,187478,0.525424352356436,,0.49097771231918336,0.5286753645761103
