Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/analyze,19,2,13000.0,11698.16118429758,13.993416912853718,13737.657125107944,40639.42105263158,0.32572538384863264,0.03428688251038238,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,14000
,Aggregated,19,2,13000.0,11698.16118429758,13.993416912853718,13737.657125107944,40639.42105263158,0.32572538384863264,0.03428688251038238,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,14000
